Designator,Mid X,Mid Y,Layer,Rotation
D1659,2.8,-53.347164,top,120
D166,-35.7,-3.637306,top,120
D1660,4.2,-53.347164,top,120
D1661,5.6,-53.347164,top,120
D1662,7,-53.347164,top,120
D1663,8.4,-53.347164,top,120
D1664,9.8,-53.347164,top,120
D1665,11.2,-53.347164,top,120
D1666,12.6,-53.347164,top,120
D1667,14,-53.347164,top,120
D1668,15.4,-53.347164,top,120
D1669,16.8,-53.347164,top,120
D167,-37.1,-3.637306,top,120
D1670,18.2,-53.347164,top,120
D1671,19.6,-53.347164,top,120
D1672,21,-53.347164,top,120
D1673,22.4,-53.347164,top,120
D1674,23.8,-53.347164,top,120
D1675,25.2,-53.347164,top,120
D1676,26.6,-53.347164,top,120
D1677,28,-53.347164,top,120
